Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
19877-MIN,Male,35,No,Minnesota,7,27,,Yes,No,Yes,Cable,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,0,0,381.51,974.81,Stayed,,
58353-IOW,Female,45,Yes,Iowa,14,13,,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-4,542.4,38.33,10,96.21,610.28,Stayed,,
25063-ARK,Male,51,No,Arkansas,4,35,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0,0,134.6,415.45,Churned,Competitor,Competitor had better devices
59787-TEX,Male,79,No,Texas,3,21,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98,1237.85,0,0,361.66,1599.51,Churned,Dissatisfaction,Product dissatisfaction
28544-DEL,Female,80,No,Delaware,3,8,,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,0,0,22.14,289.54,Churned,Dissatisfaction,Network reliability
32750-KAN,Male,24,No,Kansas,9,2,Deal 5,Yes,No,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,0,0,150.93,722.38,Stayed,,
84741-DEL,Female,66,Yes,Delaware,9,23,Deal 1,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,7904.25,0,0,707.16,8611.41,Stayed,,
65618-MIC,Male,51,Yes,Michigan,12,24,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,5377.8,0,20,816.48,6214.28,Stayed,,
64233-MIC,Female,63,No,Michigan,4,10,Deal 5,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,0,0,73.71,414.06,Stayed,,
23612-ILL,Female,41,No,Illinois,3,1,,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,5957.9,0,0,1849.9,7807.8,Stayed,,
45397-HAW,Male,48,Yes,Hawaii,0,1,,No,,Yes,Cable,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,0,0,0,2460.55,Stayed,,
53023-GEO,Male,26,Yes,Georgia,6,22,,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,0,0,1152.72,9609.47,Stayed,,
13717-NEW,Male,56,Yes,New York,15,26,,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0,0,93.25,444.75,Stayed,,
71897-ORE,Female,36,Yes,Oregon,8,6,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0,0,162,7423.25,Stayed,,
15776-HAW,Female,38,Yes,Hawaii,1,19,,No,,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0,0,0,2560.1,Stayed,,
56731-LOU,Female,53,Yes,Louisiana,5,8,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0,0,1935.46,8784.86,Stayed,,
49302-MIN,Female,47,No,Minnesota,14,4,,No,,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0,0,0,1993.2,Stayed,,
93520-NEW,Female,67,No,New Hampshire,13,19,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0,0,7.77,79.87,Joined,,
73360-RHO,Female,74,No,Rhode Island,0,30,,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services
36756-IDA,Male,64,Yes,Idaho,15,33,,No,,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0,0,0,25.1,Churned,Competitor,Competitor made better offer
11925-NEB,Female,78,Yes,Nebraska,12,12,,Yes,Yes,No,,,,,,,,,,One Year,No,Bank Withdrawal,25.2,1306.3,0,0,1571.5,2877.8,Stayed,,
87346-SOU,Female,29,Yes,South Carolina,12,20,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0,0,566.28,1781.88,Churned,Other,Don't know
86818-CON,Female,29,Yes,Connecticut,8,22,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0,0,802.93,2652.88,Stayed,,
57256-RHO,Female,18,No,Rhode Island,9,7,,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.85,57.2,0,0,9.36,66.56,Joined,,
65431-SOU,Female,31,No,South Carolina,12,24,Deal 5,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,20.35,76.35,0,0,49.72,126.07,Churned,Price,Long distance charges
13829-MIN,Female,34,Yes,Minnesota,12,26,,No,,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0,0,0,30.5,Churned,Attitude,Attitude of service provider
19279-WAS,Female,35,No,Washington,14,18,,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0,20,1927.2,7603.95,Stayed,,
27129-NOR,Male,44,Yes,North Dakota,0,23,,Yes,No,No,,,,,,,,,,Two Year,No,Credit Card,20.4,1090.6,0,0,1063.8,2154.4,Stayed,,
